-----------------------------------------------------------------------
Generation 50

Pacman N°1
[Node 115 | Parent : 113 | Child : R | Depth : 42 | TerminalNode | Direction : RIGHT]
[Node 119 | Parent : 118 | Child : L | Depth : 42 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 128 | Parent : 118 | Child : R | Depth : 42 | TerminalNode | Direction : UP]
[Node 130 | Parent : 129 | Child : L | Depth : 42 | TerminalNode | Direction : LEFT]
[Node 131 | Parent : 129 | Child : R | Depth : 42 | TerminalNode | Direction : RIGHT]
[Node 120 | Parent : 119 | Child : L | Depth : 43 | IfNode | Tester : CheckWallLeftToPacman]
[Node 127 | Parent : 119 | Child : R | Depth : 43 | TerminalNode | Direction : DOWN]
[Node 121 | Parent : 120 | Child : L | Depth : 44 | IfNode | Tester : CheckWallDownToPacman]
[Node 124 | Parent : 120 | Child : R | Depth : 44 | IfNode | Tester : CheckGhostRightToPacman]
[Node 122 | Parent : 121 | Child : L | Depth : 45 | TerminalNode | Direction : UP]
[Node 123 | Parent : 121 | Child : R | Depth : 45 | TerminalNode | Direction : DOWN]
[Node 125 | Parent : 124 | Child : L | Depth : 45 | TerminalNode | Direction : RIGHT]
[Node 126 | Parent : 124 | Child : R | Depth : 45 | TerminalNode | Direction : RIGHT]
************************************************************************
Pacman N°2
[Node 1 | Parent : ø | Child : ø | Depth : 0 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 2 | Parent : 1 | Child : L | Depth : 1 | IfNode | Tester : CheckWallLeftToPacman]
[Node 97 | Parent : 1 | Child : R | Depth : 1 | IfNode | Tester : CheckWallRightToPacman]
[Node 3 | Parent : 2 | Child : L | Depth : 2 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 6 | Parent : 2 | Child : R | Depth : 2 | IfNode | Tester : CheckGhostIsClose]
[Node 98 | Parent : 97 | Child : L | Depth : 2 | TerminalNode | Direction : LEFT]
[Node 99 | Parent : 97 | Child : R | Depth : 2 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 4 | Parent : 3 | Child : L | Depth : 3 | TerminalNode | Direction : DOWN]
[Node 5 | Parent : 3 | Child : R | Depth : 3 | TerminalNode | Direction : DOWN]
[Node 7 | Parent : 6 | Child : L | Depth : 3 | IfNode | Tester : CheckWallUpToPacman]
[Node 12 | Parent : 6 | Child : R | Depth : 3 | IfNode | Tester : CheckGhostIsClose]
[Node 100 | Parent : 99 | Child : L | Depth : 3 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 105 | Parent : 99 | Child : R | Depth : 3 | IfNode | Tester : CheckGhostRightToPacman]
[Node 8 | Parent : 7 | Child : L | Depth : 4 | IfNode | Tester : CheckWallUpToPacman]
[Node 11 | Parent : 7 | Child : R | Depth : 4 | TerminalNode | Direction : LEFT]
[Node 13 | Parent : 12 | Child : L | Depth : 4 | TerminalNode | Direction : RIGHT]
[Node 14 | Parent : 12 | Child : R | Depth : 4 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 101 | Parent : 100 | Child : L | Depth : 4 | IfNode | Tester : CheckGhostDownToPacman]
[Node 104 | Parent : 100 | Child : R | Depth : 4 | TerminalNode | Direction : DOWN]
[Node 106 | Parent : 105 | Child : L | Depth : 4 | TerminalNode | Direction : DOWN]
[Node 107 | Parent : 105 | Child : R | Depth : 4 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 9 | Parent : 8 | Child : L | Depth : 5 | TerminalNode | Direction : UP]
[Node 10 | Parent : 8 | Child : R | Depth : 5 | TerminalNode | Direction : UP]
[Node 15 | Parent : 14 | Child : L | Depth : 5 | IfNode | Tester : CheckWallLeftToPacman]
